,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100
大石恵美,1,0,0,1,0,1,1,1,0,8,0,0,2,0,4,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,3,0,0,2,4,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,5,1,1,0,0,2,1,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0
大石優花,0,0,0,0,3,0,2,0,1,0,0,1,2,0,1,2,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,1,3,0,1,0,0,2,0,2,3,0,1,1,0,1,1,0,0,2,1,0,1,0,1,0,0,0,1,0,1,2,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,2,0,0,0,0,3,3,2,0
大川英子,0,0,1,3,0,2,1,3,1,1,0,1,0,2,1,2,0,0,0,2,0,1,0,1,3,1,1,0,3,3,0,2,0,0,1,1,1,0,2,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,4,1,0,1,0,2,2,0,0,2,0,0,1,2,1,2,0,0,0,0
大地まり,0,2,0,1,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,1,0,0,0,0,1,2,0,2,0,2,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
大舞じゅりあ,0,2,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,1,0,1,2,0,1,0,0,0,0,2,0,0,3,1,1,0,1,1,0,0,3,1,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,1,1,0,0,0,0,0,0,0
大野かすみ,0,1,1,1,1,0,0,0,0,0,0,2,3,1,0,0,0,1,1,1,0,0,0,2,2,0,0,0,4,0,2,1,0,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0
大野香代子,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,1,0,1,0,0,0,1,0,0,3,0,2,0,1,0,4,0,0,0,0,1,1,0,0,1,1,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,3,4,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
大野詩給,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1
大友このみ,2,0,0,1,2,4,2,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,2,0,1,2,0,1,0,2,0,1,0,1,0,1,1,0,0,0,4,0,0,0,0,0,2,0,2,0,0,2,0,0,1,0,1,0,3,0,0,2,2,0,0,0,2,0,0,0,0,0,0
大澤恵,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,2,2,1,3,0,0,0,0,3,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0
滝川真子,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滝沢まみ,0,3,0,0,0,1,0,0,1,0,1,0,0,2,1,0,0,2,1,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,1,0,0,5,1,3,4,0,0,0,0,2,0,0,1,1,0,0,0,1,0,1,0,2,2,1,3,0,3,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,1,1,0,0,3,0,0,0,0,1,0,3,0,0
滝沢ゆう,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,3,0,1,0,1,0,2,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,1,0
滝沢薔,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0
沢賀名,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,3,1,0,0,2,0,1,0,0,0,0,2,0,2,0,0,1,0,2,0,0,1,1,1,0,0,0,0,2,2,0,0,1,0,3,0,0,1,0,0,0,1,0,0,0,1,2,1,2,2,0,0,0,3,0,0,1,2,0,0,1,0,1,0,1,0,1
沢口あすか,1,2,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,4,0,1,1,2,0,1,0,1,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,1,2,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,1,2,0,0,2,0,3,0,0,0,1,0,1,0,0,0,0,1,0,1,2,1,0,0
沢口ケイ,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
沢口みき,2,2,0,0,0,3,0,0,0,2,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,2,8,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,3,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,6,1,0,1,2,0,0,1,1,2,0,1,4,0,0,1
沢口るな,2,0,0,2,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,2,1,2,0,0,1,1,0,0,0,0,0,0,2,1,1,0,2,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0
沢口梨々子,1,0,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,2,1,1,0,1,0,0,0,0
沢山涼子,3,1,2,2,0,2,0,3,0,2,0,0,0,3,3,1,0,1,3,0,0,1,1,0,0,1,3,0,1,3,1,0,0,1,4,2,1,1,0,2,0,1,1,1,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,2,1,3,0,0,1,1,2,1,0,1,4,0,0,0,0,0,2,1,0,0,1,1,0,0,2,1,0,0,0,0,1,0
沢村ひかる,0,0,0,1,1,2,1,1,0,0,1,1,1,1,0,1,0,0,0,2,1,0,3,0,1,4,0,0,2,1,0,3,0,0,0,3,1,0,1,1,1,2,2,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
沢村ゆかり,0,0,2,0,0,4,1,3,0,1,0,0,1,1,0,2,0,1,2,0,2,4,0,1,2,1,2,2,2,1,2,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,1,3,0,0,1,4,2,1,0,0,0,3,2,0,3,1,2,1,2,0,0,1,0,2,0,1,0,1,1,0,0,1,0,0,0,1,0,2,0,1,3,1,0,1,1,0,0,0,0,0
沢村美沙,2,0,2,1,0,1,2,0,1,0,1,1,0,1,0,1,1,4,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,2,0,0,1,1,0,1,3,1,2,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,2,0,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,3,0,1,0,1,1,0,0,2,0
沢田美佐江,0,0,0,2,1,0,1,0,0,0,1,0,2,1,1,1,0,0,1,0,2,1,2,0,0,0,1,0,3,3,0,1,1,1,0,1,0,0,3,0,1,1,0,0,1,1,2,0,3,0,0,1,0,1,2,0,1,0,0,0,0,0,4,0,0,1,1,1,0,0,0,1,0,1,1,2,2,3,0,0,2,3,0,0,1,0,1,1,0,5,0,0,0,0,1,4,3,0,0,1
沢田舞香,0,3,0,3,0,4,0,1,0,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,2,0,2,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,2,1,1,0,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
沢田麻由,0,0,0,0,2,0,1,0,0,0,1,0,1,0,1,2,0,1,1,0,0,0,0,0,1,1,3,1,1,0,0,0,1,0,0,2,2,0,2,1,3,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,2,1,1,0,0,1,2,0,1,2,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,3,0,0,0,2,1,0,2,1,0,2,1,0,0,2,0,0,0
沢田悠理,1,0,0,3,1,2,0,0,0,1,0,0,0,0,1,0,0,3,1,2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,1,0,0,1,0,1,0,1
沢木まゆみ,3,3,0,2,0,3,0,2,0,5,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,2,0,2,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,1,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,1,0,1,2,0,1,0,0,3,0,1,0,1
沢木百合子,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,2,0,1,0,0,0,0,2,0,0,1,5,0,0,1,2,1,1,1,0,1,0,4,0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,3,1,0,1,0,0
沢木麗,0,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,2,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,2,3,0,1,0,0,1,0
谷地るい,0,0,1,1,0,1,1,2,1,0,2,0,0,1,1,1,0,0,0,0,0,2,0,0,3,2,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,3,0,0,2,2,0,2,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,2,1,1,0,3,1,0,1,0,0,0,1,0,1,1,1,1,0,1,2,0,0,1,1,0,1,0,1,0,3,0,0,0,0
池永美里,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
池上あき子,0,1,0,2,1,3,0,0,0,0,4,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,1,1,0,1,0,0,1,0,2,0,2,0,1,0,0,1,1,0,0,0,0,2,0,2,0,0
池上ゆりこ,0,0,1,0,0,1,0,0,0,2,1,1,1,0,2,0,0,2,1,0,1,2,0,0,0,0,1,1,0,0,0,0,2,1,2,0,0,2,1,1,2,1,0,1,0,0,0,3,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,2
池上美沙,0,0,1,0,0,1,0,2,1,0,0,0,1,0,1,1,0,1,0,0,1,2,0,2,1,1,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,1,0,4,3,2,0,0,0,1,0,2,0,3,0,0,1,2,1,1,0,0,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
池田あや,1,0,1,2,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,1,1,2,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
池田ふみか,3,0,0,0,1,0,0,0,1,0,0,0,2,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,2,0,0,3
池田久美子,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,2,1,0,0,2,0,1,0,0,0,0,1,0,2,1,0,0,0
池乃内るり,1,1,1,0,1,0,0,0,1,0,1,1,1,2,0,1,0,1,0,0,2,0,4,3,2,1,2,0,0,1,0,1,1,0,0,0,1,2,1,1,2,0,1,0,0,0,0,1,0,5,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,4,1,1,0,0,0,3,1,0,1,0,0,0,0,1,1,0,0,1,0,0,3,0,0,0
池波まこと,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0
池野瞳,1,0,0,1,0,4,1,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,3,0,0,0,1,1,1,1,0,0,0,0,0,0,4,1,0,2,0,1,0,0,0,2,1,0,1,3,0,1,0,1,1,1,0,0,2,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,4,0
竹下ゆかり,0,2,0,0,1,0,1,0,0,2,1,1,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,2,0,0,4,0,3,0,1,0,0,1,0,1,0,1,2,1,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,2,1,0,0,0,1,0,0,2,1,0,0,2,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0
竹内ひろこ,0,0,0,0,0,0,0,1,0,2,0,1,1,1,0,2,0,0,2,1,0,0,0,0,1,1,2,0,3,5,1,0,2,1,0,0,1,1,0,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,3,0,2,0,1,0,0,3,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,3,0,0,5,0,0,0,1,0,0,0,0,2
竹内優美子,0,0,0,2,3,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,1,2,1,0,1,1,1,1,0,0,3,1,0,0,0,0,0,3,0,0,1,0,0,1,3,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,1,1,0,0,0,2,1,2,1,2,2,2,0,0,0,0,0,0,1,0,0,1,0
竹本里緒,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2,1,1,0,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0
中井亜紀,0,0,2,0,0,1,0,0,1,0,0,2,1,1,0,3,0,0,0,0,1,0,4,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
中河原椿,0,0,0,3,0,3,0,0,0,0,0,3,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,2,0,0,3,0,3,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,2,1,0,2,0,0,1,0,0,0,0,1,0,0,0
中原絵梨子,0,0,1,0,3,2,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
中原絵梨奈,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
中根ゆま,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,0,0,0,2,0,0,0,1,0,3,1,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2
中山ひなの,1,5,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,6,1,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
中山ゆい,0,0,0,2,3,0,0,0,0,0,2,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,0,0,0,4,0,3,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1
中山亜樹,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,2,0,0,2,1,1,0,2,0,1,0,0,1,1,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,1,0,0,0,0,0,3,1,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,1,1,1,0,0,0
中山愛里,1,0,0,0,0,0,3,2,0,0,1,0,1,0,1,0,0,4,0,1,1,2,1,0,0,2,2,0,1,2,0,0,2,3,1,0,1,1,1,5,0,2,0,1,1,0,0,1,0,1,3,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,6,1,2,1,1,0,0,2,0,1,0,2,2,1,1,2,0,0,5,0,2,1,0,0,0,0,2,0,0,1,0,0,0,0
中山幸子,0,1,1,2,0,1,0,5,0,0,0,1,0,0,3,0,0,2,1,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
中山祥子,0,1,1,2,0,0,0,2,0,0,0,0,0,1,2,1,0,2,1,4,0,1,0,0,2,0,0,0,0,1,0,0,3,1,0,1,0,0,2,0,0,3,0,0,3,3,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,3,1,1,0,1,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
中条みどり,0,0,1,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,3,1,2,0,0,1,0,0,2,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,1,0,0,3,2,1,0,3,0,0,0,2,0,1,1,0,0,3,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
中森加奈,0,1,1,4,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0
中森藍子,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,5,0,2,2,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,1,3,1,1,3,0,2,0,0,0,1,0,0,0,0,0,1,0,1,1,2,2,0,2,1,2,0,0,1,1,0,0,0,0,1,0,1,0,0
中川えり子,1,0,0,0,2,0,0,0,1,0,1,0,3,0,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
鈴木亜沙美,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,3,0,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1
中村京子,3,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,1,2,1,1,0,1,1,2,0,2,0,0,0,2,4,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,4,0,0,0,1,2,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,3,0,2,0,2,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1
中沢いずみ,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,1,0,2,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0
中沢慶子,1,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
小山あみ,0,0,0,4,1,1,0,0,0,1,0,4,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0,2,0,0,1,2,0,0,5,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,2,0,1,1,2,0,2,0,2,0,0,0,0,0,0,0
